Date,Mean Temperature,Precipitation,MXNCAD Exchange Rate,USDCAD Exchange Rate,Integrated Gas Price,Import Quantity,Avocado Price
2017-01,18.6,137.7,0.06165,1.3193,0.94219,6014664.0,1.51
2017-02,18.1,37.4,0.06462,1.3107,0.93213,5532088.0,1.57
2017-03,17.0,32.0,0.06942,1.3386,0.94115,7304168.0,1.81
2017-04,17.8,11.3,0.07161,1.344,0.95262,6062682.0,2.01
2017-05,19.9,0.1,0.07251,1.3607,0.95003,7035390.0,2.13
2017-06,21.1,1.4,0.07333,1.3298,0.91551,5888440.0,2.17
2017-07,23.6,13.2,0.07127,1.2689,0.87386,5981296.0,1.97
2017-08,23.5,2.7,0.07082,1.2605,0.90151,4846083.0,2.13
2017-09,21.5,30.7,0.06888,1.2283,0.93997,5230342.0,2.12
2017-10,22.0,113.6,0.06697,1.2605,0.96869,5354185.0,2.07
2017-11,21.1,175.7,0.06752,1.2769,1.02531,6241156.0,1.57
2017-12,20.5,234.2,0.06672,1.2771,1.02849,6934184.0,1.76
2018-01,18.6,201.7,0.06573,1.2427,1.04285,7192742.0,1.48
2018-02,16.7,52.3,0.06749,1.2586,1.06046,6624548.0,1.62
2018-03,15.8,0.8,0.06946,1.2932,1.06603,7853869.0,1.81
2018-04,18.6,4.2,0.06927,1.2733,1.08473,7141789.0,1.75
2018-05,20.9,14.9,0.06593,1.2873,1.14379,8160216.0,1.7
2018-06,21.9,16.3,0.06469,1.3129,1.16663,7727575.0,1.83
2018-07,23.3,1.0,0.06927,1.313,1.15789,7269038.0,1.76
2018-08,22.4,9.2,0.06912,1.3041,1.14577,7221515.0,1.94
2018-09,21.8,76.6,0.0686,1.3037,1.1607,7346800.0,1.96
2018-10,21.4,237.2,0.0678,1.301,1.19453,7217851.0,1.87
2018-11,21.4,124.0,0.06521,1.32,1.18636,7246886.0,1.81
2018-12,20.8,214.3,0.06681,1.3432,1.13718,7542001.0,1.83
2019-01,18.0,170.9,0.06939,1.3301,1.07888,7683651.0,1.76
2019-02,16.5,144.4,0.06881,1.3206,1.08153,7883427.0,1.71
2019-03,17.0,92.3,0.0695,1.3368,1.12134,8533149.0,1.7
2019-04,19.3,4.2,0.07051,1.3378,1.1419,8642527.0,1.95
2019-05,20.9,7.8,0.07043,1.3459,1.16143,8643698.0,2.26
2019-06,21.3,1.5,0.06894,1.3287,1.1166,7142986.0,2.24
2019-07,23.4,1.2,0.06878,1.3101,1.08976,7332632.0,2.2
2019-08,23.3,1.7,0.06742,1.3277,1.08675,5895307.0,2.23
2019-09,22.1,18.1,0.06772,1.3241,1.09004,5705382.0,2.16
2019-10,21.8,111.7,0.06824,1.319,1.1055,6285274.0,1.92
2019-11,21.2,187.6,0.06846,1.3239,1.11838,7256363.0,1.77
2019-12,20.8,156.3,0.0689,1.3172,1.11129,7332507.0,1.62
2020-01,20.1,197.8,0.0696,1.3087,1.10283,8427280.0,1.66
2020-02,17.7,129.2,0.07049,1.3286,1.06347,7852738.0,1.73
2020-03,17.1,34.0,0.06263,1.3953,1.02541,9177692.0,1.99
2020-04,18.9,2.9,0.05803,1.4058,0.93682,7714833.0,1.98
2020-05,21.3,15.5,0.05958,1.397,0.88869,9500597.0,2.08
2020-06,22.6,32.8,0.06079,1.355,0.88189,7192417.0,2.04
2020-07,22.5,8.1,0.06031,1.3499,0.89598,9434396.0,2.02
