date,price_before_adjustment,cpi,price_adjusted
2017-01,1.51,141.5,1.51
2017-02,1.52,141.7,1.52
2017-03,1.66,141.8,1.66
2017-04,1.92,142.2,1.91
2017-05,2.14,143.1,2.12
2017-06,2.11,143.6,2.08
2017-07,2.01,144.1,1.97
2017-08,2.02,143.6,1.99
2017-09,1.91,142.4,1.9
2017-10,1.76,141.7,1.76
2017-11,1.42,142.9,1.41
2017-12,1.63,143.4,1.61
2018-01,1.48,144.7,1.45
2018-02,1.53,144.7,1.5
2018-03,1.64,144.2,1.61
2018-04,1.6,144.8,1.56
2018-05,1.64,144.6,1.6
2018-06,1.77,145.6,1.72
2018-07,1.79,146.1,1.73
2018-08,1.83,145.9,1.77
2018-09,1.78,144.9,1.74
2018-10,1.62,144.6,1.59
2018-11,1.64,146.1,1.59
2018-12,1.73,147.5,1.66
2019-01,1.7,148.7,1.62
2019-02,1.67,149.3,1.58
2019-03,1.67,149.4,1.58
2019-04,1.89,149.0,1.79
2019-05,2.11,149.7,1.99
2019-06,2.19,150.7,2.06
2019-07,2.07,151.6,1.93
2019-08,2.03,151.1,1.9
2019-09,1.97,150.2,1.86
2019-10,1.82,149.9,1.72
2019-11,1.75,151.1,1.64
2019-12,1.79,151.9,1.67
2020-01,1.74,153.5,1.6
2020-02,1.69,152.9,1.56
2020-03,1.79,152.8,1.66
2020-04,1.97,154.0,1.81
2020-05,1.99,154.3,1.82
2020-06,1.95,154.8,1.78
2020-07,1.97,155.0,1.8
2020-08,1.75,153.8,1.61
2020-09,1.71,152.6,1.59
2020-10,1.58,153.3,1.46
2020-11,1.58,153.9,1.45
2020-12,1.61,153.6,1.48
2021-01,1.55,155.0,1.42
2021-02,1.47,155.6,1.34
2021-03,1.59,155.5,1.45
2021-04,1.76,155.4,1.6
2021-05,1.73,156.6,1.56
2021-06,1.82,156.8,1.64
2021-07,1.75,157.6,1.57
2021-08,1.81,158.0,1.62
2021-09,1.81,158.5,1.62
2021-10,1.73,159.2,1.54
2021-11,1.66,160.7,1.46
2021-12,1.76,161.6,1.54
2022-01,1.88,163.9,1.62
2022-02,2.0,166.0,1.7
2022-03,2.07,167.5,1.75
2022-04,2.35,169.0,1.97
2022-05,2.46,170.4,2.04
2022-06,2.42,170.6,2.01
2022-07,2.19,172.1,1.8
2022-08,2.18,173.5,1.78
2022-09,1.74,174.8,1.41
2022-10,1.81,175.2,1.46
2022-11,1.76,177.3,1.4
2022-12,1.87,177.9,1.49
2023-01,1.8,181.0,1.41
2023-02,1.65,182.1,1.28
2023-03,1.71,182.4,1.33
2023-04,2.06,183.1,1.59
2023-05,1.95,184.6,1.49
2023-06,2.01,184.8,1.54
2023-07,2.02,185.5,1.54
2023-08,2.18,185.3,1.66
2023-09,2.07,185.2,1.58
2023-10,2.24,185.0,1.71
2023-11,2.04,186.2,1.55
2023-12,2.0,186.8,1.51
2024-01,1.88,188.1,1.41
2024-02,1.8,188.1,1.35
2024-03,1.99,187.8,1.5
2024-04,1.92,187.4,1.45
2024-05,2.17,189.0,1.62
2024-06,2.29,190.0,1.71
2024-07,2.44,190.5,1.81
2024-08,2.38,190.3,1.77
2024-09,2.11,190.3,1.57
2024-10,2.2,190.5,1.63
2024-11,1.92,191.5,1.42
2024-12,2.0,188.0,1.51
2025-01,2.27,187.0,1.72
2025-02,2.19,190.5,1.63
2025-03,2.4,193.8,1.75
2025-04,2.36,194.5,1.72
2025-05,2.48,195.4,1.8
2025-06,2.34,195.6,1.69
2025-07,2.02,196.8,1.45
2025-08,1.94,196.8,1.39
2025-09,2.07,197.5,1.48
2025-10,1.79,196.9,1.29
2025-11,1.77,199.5,1.26
2025-12,2.08,199.7,1.47
