date,price_before_adjustment,cpi,price_adjusted
2017-01,4.48,141.5,4.48
2017-02,4.19,141.7,4.18
2017-03,3.83,141.8,3.82
2017-04,3.34,142.2,3.32
2017-05,3.13,143.1,3.1
2017-06,3.35,143.6,3.3
2017-07,3.13,144.1,3.07
2017-08,3.1,143.6,3.05
2017-09,3.08,142.4,3.06
2017-10,3.23,141.7,3.23
2017-11,3.95,142.9,3.91
2017-12,5.3,143.4,5.23
2018-01,5.55,144.7,5.43
2018-02,4.5,144.7,4.4
2018-03,4.2,144.2,4.12
2018-04,3.59,144.8,3.51
2018-05,3.21,144.6,3.14
2018-06,3.39,145.6,3.29
2018-07,3.39,146.1,3.28
2018-08,3.27,145.9,3.17
2018-09,3.36,144.9,3.28
2018-10,3.8,144.6,3.72
2018-11,4.79,146.1,4.64
2018-12,6.04,147.5,5.79
2019-01,5.86,148.7,5.58
2019-02,4.95,149.3,4.69
2019-03,4.48,149.4,4.24
2019-04,3.83,149.0,3.64
2019-05,3.57,149.7,3.37
2019-06,3.51,150.7,3.3
2019-07,3.66,151.6,3.42
2019-08,3.61,151.1,3.38
2019-09,3.49,150.2,3.29
2019-10,3.71,149.9,3.5
2019-11,4.67,151.1,4.37
2019-12,5.95,151.9,5.54
2020-01,6.7,153.5,6.18
2020-02,6.56,152.9,6.07
2020-03,6.38,152.8,5.91
2020-04,5.19,154.0,4.77
2020-05,4.76,154.3,4.37
2020-06,5.24,154.8,4.79
2020-07,5.6,155.0,5.11
2020-08,5.12,153.8,4.71
2020-09,5.07,152.6,4.7
2020-10,5.53,153.3,5.1
2020-11,5.51,153.9,5.07
2020-12,5.95,153.6,5.48
2021-01,6.44,155.0,5.88
2021-02,5.74,155.6,5.22
2021-03,4.8,155.5,4.37
2021-04,3.7,155.4,3.37
2021-05,3.6,156.6,3.25
2021-06,3.71,156.8,3.35
2021-07,3.91,157.6,3.51
2021-08,3.77,158.0,3.38
2021-09,3.95,158.5,3.53
2021-10,4.42,159.2,3.93
2021-11,5.22,160.7,4.6
2021-12,5.59,161.6,4.89
2022-01,5.75,163.9,4.96
2022-02,5.44,166.0,4.64
2022-03,4.57,167.5,3.86
2022-04,4.21,169.0,3.52
2022-05,4.11,170.4,3.41
2022-06,4.04,170.6,3.35
2022-07,4.35,172.1,3.58
2022-08,4.21,173.5,3.43
2022-09,4.19,174.8,3.39
2022-10,4.57,175.2,3.69
2022-11,6.32,177.3,5.04
2022-12,6.99,177.9,5.56
2023-01,6.85,181.0,5.36
2023-02,5.85,182.1,4.55
2023-03,5.25,182.4,4.07
2023-04,4.7,183.1,3.63
2023-05,4.23,184.6,3.24
2023-06,4.55,184.8,3.48
2023-07,4.66,185.5,3.55
2023-08,4.36,185.3,3.33
2023-09,4.27,185.2,3.26
2023-10,4.79,185.0,3.66
2023-11,5.17,186.2,3.93
2023-12,5.64,186.8,4.27
2024-01,6.51,188.1,4.9
2024-02,5.94,188.1,4.47
2024-03,5.26,187.8,3.96
2024-04,4.22,187.4,3.19
2024-05,4.3,189.0,3.22
2024-06,4.31,190.0,3.21
2024-07,4.46,190.5,3.31
2024-08,4.6,190.3,3.42
2024-09,4.64,190.3,3.45
2024-10,4.68,190.5,3.48
2024-11,5.88,191.5,4.34
2024-12,6.4,188.0,4.82
2025-01,6.64,187.0,5.02
2025-02,5.43,190.5,4.03
2025-03,5.1,193.8,3.72
2025-04,4.69,194.5,3.41
2025-05,4.52,195.4,3.27
2025-06,4.48,195.6,3.24
2025-07,4.7,196.8,3.38
2025-08,4.89,196.8,3.52
2025-09,4.67,197.5,3.35
2025-10,4.64,196.9,3.33
2025-11,5.06,199.5,3.59
2025-12,5.45,199.7,3.86
