refYear,refMonth,qty,altQty,netWgt,fobvalue,primaryValue
2016,1,7371524,7371524,7371524,12671758.159,12671758.159
2016,2,6118500,6118500,6118500,10848439.593,10848439.593
2016,3,6829811,6829811,6829811,12320765.747,12320765.747
2016,4,7678612,7678612,7678612,13838020.948,13838020.948
2016,5,6615593,6615593,6615593,14899524.88,14899524.88
2016,6,5261834,5261834,5261834,13724455.237,13724455.237
2016,7,5528445,5528445,0,14830085.964,14830085.964
2016,8,5711553,5711553,5711553,14169659.485,14169659.485
2016,9,5670963,5670963,5670963,16667917.445,16667917.445
2016,10,5937992,5937992,5937992,15863697.104,15863697.104
2016,11,6014664,6014664,0,14538632.678,14538632.678
2016,12,5532088,5532088,5532088,11662192.318,11662192.318
2017,1,7304168,7304168,7304168,16149538,16149538
2017,2,0,0,0,13951000.151,13951000.151
2017,3,7035390,7035390,7035390,19892109.406,19892109.406
2017,4,5888440,5888440,5888440,19732070.579,19732070.579
2017,5,5981296,5981296,5981296,22990944.109,22990944.109
2017,6,4846083,4846083,4846083,17206035.849,17206035.849
2017,7,0,0,0,17412580.408,17412580.408
2017,8,5354185,5354185,5354185,17303601.55,17303601.55
2017,9,6241156,6241156,6241156,19677177.564,19677177.564
2017,10,6934184,6934184,6934184,18125431.9,18125431.9
2017,11,7192742,7192742,7192742,15342573.093,15342573.093
2017,12,6624548,6624548,6624548,13607805.938,13607805.938
2018,1,7853869,7853869,7853869,17519853.234,17519853.234
2018,2,7141789,7141789,7141789,15777006.501,15777006.501
2018,3,8160216,8160216,8160216,19481728.953,19481728.953
2018,4,7727575,7727575,7727575,21084505.429,21084505.429
2018,5,7269038,7269038,7269038,20584064.492,20584064.492
2018,6,7221515,7221515,7221515,18983762.906,18983762.906
2018,7,7346800,7346800,7346800,18219704.548,18219704.548
2018,8,7217851,7217851,7217851,17750273.113,17750273.113
2018,9,7246886,7246886,7246886,17723000.212,17723000.212
2018,10,7542001,7542001,7542001,16518451.594,16518451.594
2018,11,7683651,7683651,7683651,15358569.221,15358569.221
2018,12,7883427,7883427,7883427,15571902.533,15571902.533
2019,1,8533149,8533149,8533149,16003975.19,16003975.19
2019,2,8642527,8642527,8642527,15649177.612,15649177.612
2019,3,8643698,8643698,8643698,16845458.577,16845458.577
2019,4,7142986,7142986,7142986,22725828.467,22725828.467
2019,5,7332632,7332632,7332632,24800786.911,24800786.911
2019,6,5895307,5895307,5895307,20310784.947,20310784.947
2019,7,5705382,5705382,5705382,19322778.524,19322778.524
2019,8,6285274,6285274,6285274,19822467.696,19822467.696
2019,9,7256363,7256363,7256363,19476830.51,19476830.51
2019,10,7332507,7332507,7332507,15779488.238,15779488.238
2019,11,8427280,8427280,8427280,16906582.424,16906582.424
2019,12,7852738,7852738,7852738,15942815.785,15942815.785
2020,1,9177692,9177692,9177692,19630456.109,19630456.109
2020,2,7714833,7714833,7714833,18177889.692,18177889.692
2020,3,9500597,9500597,9500597,25366340.307,25366340.307
2020,4,7192417,7192417,7192417,19572385.824,19572385.824
2020,5,9434396.275,9434396,9434396.275,24855736.737,24855736.737
2020,6,8434269,8434269,8434269,20621367.637,20621367.637
2020,7,7678595,7678595,7678595,16880073.735,16880073.735
2020,8,6758550,6758550,6758550,14249349.888,14249349.888
2020,9,7656271,7656271,7656271,14622889.913,14622889.913
2020,10,9287201,9287201,9287201,17126194.399,17126194.399
2020,11,8792853,8792853,8792853,15023205.04,15023205.04
2020,12,8043213,8043213,8043213,13000164.632,13000164.632
2022,1,8665961.272,8665961,8665961.272,25405977.636,25405977.636
2022,2,7943381,7943381,7943381,23941746.312,23941746.312
2022,3,8445514,8445514,8445514,28893129.102,28893129.102
2022,4,6931244,6931244,6931244,26475418.306,26475418.306
2022,5,7990404,7990404,7990404,31332379.436,31332379.436
