REF_DATE,GEO,DGUID,Products,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2017-01,Canada,2021A000011124,"Avocado, unit",Dollars,81,units,0,v1353834299,11.29,1.51,,,,2
2017-01,Newfoundland and Labrador,2021A000210,"Avocado, unit",Dollars,81,units,0,v1159447003,1.29,2.06,,,,2
2017-01,Prince Edward Island,2021A000211,"Avocado, unit",Dollars,81,units,0,v1159447043,2.29,1.40,,,,2
2017-01,Nova Scotia,2021A000212,"Avocado, unit",Dollars,81,units,0,v1159447083,3.29,1.35,,,,2
2017-01,New Brunswick,2021A000213,"Avocado, unit",Dollars,81,units,0,v1159447123,4.29,1.42,,,,2
2017-01,Quebec,2021A000224,"Avocado, unit",Dollars,81,units,0,v1159447163,5.29,1.52,,,,2
2017-01,Ontario,2021A000235,"Avocado, unit",Dollars,81,units,0,v1159447203,6.29,1.42,,,,2
2017-01,Manitoba,2021A000246,"Avocado, unit",Dollars,81,units,0,v1159447243,7.29,1.58,,,,2
2017-01,Saskatchewan,2021A000247,"Avocado, unit",Dollars,81,units,0,v1159447283,8.29,1.58,,,,2
2017-01,Alberta,2021A000248,"Avocado, unit",Dollars,81,units,0,v1159447323,9.29,1.56,,,,2
2017-01,British Columbia,2021A000259,"Avocado, unit",Dollars,81,units,0,v1159447363,10.29,1.71,,,,2
2017-02,Canada,2021A000011124,"Avocado, unit",Dollars,81,units,0,v1353834299,11.29,1.52,,,,2
2017-02,Newfoundland and Labrador,2021A000210,"Avocado, unit",Dollars,81,units,0,v1159447003,1.29,1.85,,,,2
2017-02,Prince Edward Island,2021A000211,"Avocado, unit",Dollars,81,units,0,v1159447043,2.29,1.09,,,,2
2017-02,Nova Scotia,2021A000212,"Avocado, unit",Dollars,81,units,0,v1159447083,3.29,1.07,,,,2
2017-02,New Brunswick,2021A000213,"Avocado, unit",Dollars,81,units,0,v1159447123,4.29,1.12,,,,2
2017-02,Quebec,2021A000224,"Avocado, unit",Dollars,81,units,0,v1159447163,5.29,1.84,,,,2
2017-02,Ontario,2021A000235,"Avocado, unit",Dollars,81,units,0,v1159447203,6.29,1.41,,,,2
2017-02,Manitoba,2021A000246,"Avocado, unit",Dollars,81,units,0,v1159447243,7.29,1.55,,,,2
2017-02,Saskatchewan,2021A000247,"Avocado, unit",Dollars,81,units,0,v1159447283,8.29,1.56,,,,2
2017-02,Alberta,2021A000248,"Avocado, unit",Dollars,81,units,0,v1159447323,9.29,1.55,,,,2
2017-02,British Columbia,2021A000259,"Avocado, unit",Dollars,81,units,0,v1159447363,10.29,1.67,,,,2
2017-03,Canada,2021A000011124,"Avocado, unit",Dollars,81,units,0,v1353834299,11.29,1.66,,,,2
2017-03,Newfoundland and Labrador,2021A000210,"Avocado, unit",Dollars,81,units,0,v1159447003,1.29,2.12,,,,2
2017-03,Prince Edward Island,2021A000211,"Avocado, unit",Dollars,81,units,0,v1159447043,2.29,1.33,,,,2
2017-03,Nova Scotia,2021A000212,"Avocado, unit",Dollars,81,units,0,v1159447083,3.29,1.32,,,,2
2017-03,New Brunswick,2021A000213,"Avocado, unit",Dollars,81,units,0,v1159447123,4.29,1.37,,,,2
2017-03,Quebec,2021A000224,"Avocado, unit",Dollars,81,units,0,v1159447163,5.29,2.15,,,,2
2017-03,Ontario,2021A000235,"Avocado, unit",Dollars,81,units,0,v1159447203,6.29,1.54,,,,2
2017-03,Manitoba,2021A000246,"Avocado, unit",Dollars,81,units,0,v1159447243,7.29,1.53,,,,2
2017-03,Saskatchewan,2021A000247,"Avocado, unit",Dollars,81,units,0,v1159447283,8.29,1.55,,,,2
2017-03,Alberta,2021A000248,"Avocado, unit",Dollars,81,units,0,v1159447323,9.29,1.59,,,,2
2017-03,British Columbia,2021A000259,"Avocado, unit",Dollars,81,units,0,v1159447363,10.29,1.76,,,,2
2017-04,Canada,2021A000011124,"Avocado, unit",Dollars,81,units,0,v1353834299,11.29,1.92,,,,2
2017-04,Newfoundland and Labrador,2021A000210,"Avocado, unit",Dollars,81,units,0,v1159447003,1.29,2.29,,,,2
2017-04,Prince Edward Island,2021A000211,"Avocado, unit",Dollars,81,units,0,v1159447043,2.29,1.51,,,,2
