REF_DATE,GEO,DGUID,Products,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2017-01,Canada,2021A000011124,"Tomatoes, per kilogram",Dollars,81,units,0,v1353834301,11.31,4.48,,,,2
2017-01,Newfoundland and Labrador,2021A000210,"Tomatoes, per kilogram",Dollars,81,units,0,v1159447005,1.31,5.60,,,,2
2017-01,Prince Edward Island,2021A000211,"Tomatoes, per kilogram",Dollars,81,units,0,v1159447045,2.31,4.42,,,,2
2017-01,Nova Scotia,2021A000212,"Tomatoes, per kilogram",Dollars,81,units,0,v1159447085,3.31,4.36,,,,2
2017-01,New Brunswick,2021A000213,"Tomatoes, per kilogram",Dollars,81,units,0,v1159447125,4.31,4.67,,,,2
2017-01,Quebec,2021A000224,"Tomatoes, per kilogram",Dollars,81,units,0,v1159447165,5.31,5.45,,,,2
2017-01,Ontario,2021A000235,"Tomatoes, per kilogram",Dollars,81,units,0,v1159447205,6.31,4.05,,,,2
2017-01,Manitoba,2021A000246,"Tomatoes, per kilogram",Dollars,81,units,0,v1159447245,7.31,4.38,,,,2
2017-01,Saskatchewan,2021A000247,"Tomatoes, per kilogram",Dollars,81,units,0,v1159447285,8.31,4.48,,,,2
2017-01,Alberta,2021A000248,"Tomatoes, per kilogram",Dollars,81,units,0,v1159447325,9.31,4.38,,,,2
2017-01,British Columbia,2021A000259,"Tomatoes, per kilogram",Dollars,81,units,0,v1159447365,10.31,4.59,,,,2
2017-02,Canada,2021A000011124,"Tomatoes, per kilogram",Dollars,81,units,0,v1353834301,11.31,4.19,,,,2
2017-02,Newfoundland and Labrador,2021A000210,"Tomatoes, per kilogram",Dollars,81,units,0,v1159447005,1.31,5.34,,,,2
2017-02,Prince Edward Island,2021A000211,"Tomatoes, per kilogram",Dollars,81,units,0,v1159447045,2.31,4.38,,,,2
2017-02,Nova Scotia,2021A000212,"Tomatoes, per kilogram",Dollars,81,units,0,v1159447085,3.31,4.44,,,,2
2017-02,New Brunswick,2021A000213,"Tomatoes, per kilogram",Dollars,81,units,0,v1159447125,4.31,4.62,,,,2
2017-02,Quebec,2021A000224,"Tomatoes, per kilogram",Dollars,81,units,0,v1159447165,5.31,5.03,,,,2
2017-02,Ontario,2021A000235,"Tomatoes, per kilogram",Dollars,81,units,0,v1159447205,6.31,3.85,,,,2
2017-02,Manitoba,2021A000246,"Tomatoes, per kilogram",Dollars,81,units,0,v1159447245,7.31,3.99,,,,2
2017-02,Saskatchewan,2021A000247,"Tomatoes, per kilogram",Dollars,81,units,0,v1159447285,8.31,4.02,,,,2
2017-02,Alberta,2021A000248,"Tomatoes, per kilogram",Dollars,81,units,0,v1159447325,9.31,4.01,,,,2
2017-02,British Columbia,2021A000259,"Tomatoes, per kilogram",Dollars,81,units,0,v1159447365,10.31,4.22,,,,2
2017-03,Canada,2021A000011124,"Tomatoes, per kilogram",Dollars,81,units,0,v1353834301,11.31,3.83,,,,2
2017-03,Newfoundland and Labrador,2021A000210,"Tomatoes, per kilogram",Dollars,81,units,0,v1159447005,1.31,5.14,,,,2
2017-03,Prince Edward Island,2021A000211,"Tomatoes, per kilogram",Dollars,81,units,0,v1159447045,2.31,4.23,,,,2
2017-03,Nova Scotia,2021A000212,"Tomatoes, per kilogram",Dollars,81,units,0,v1159447085,3.31,4.17,,,,2
2017-03,New Brunswick,2021A000213,"Tomatoes, per kilogram",Dollars,81,units,0,v1159447125,4.31,4.36,,,,2
2017-03,Quebec,2021A000224,"Tomatoes, per kilogram",Dollars,81,units,0,v1159447165,5.31,4.26,,,,2
2017-03,Ontario,2021A000235,"Tomatoes, per kilogram",Dollars,81,units,0,v1159447205,6.31,3.48,,,,2
2017-03,Manitoba,2021A000246,"Tomatoes, per kilogram",Dollars,81,units,0,v1159447245,7.31,3.97,,,,2
2017-03,Saskatchewan,2021A000247,"Tomatoes, per kilogram",Dollars,81,units,0,v1159447285,8.31,4.09,,,,2
2017-03,Alberta,2021A000248,"Tomatoes, per kilogram",Dollars,81,units,0,v1159447325,9.31,3.89,,,,2
2017-03,British Columbia,2021A000259,"Tomatoes, per kilogram",Dollars,81,units,0,v1159447365,10.31,3.99,,,,2
2017-04,Canada,2021A000011124,"Tomatoes, per kilogram",Dollars,81,units,0,v1353834301,11.31,3.34,,,,2
2017-04,Newfoundland and Labrador,2021A000210,"Tomatoes, per kilogram",Dollars,81,units,0,v1159447005,1.31,4.75,,,,2
2017-04,Prince Edward Island,2021A000211,"Tomatoes, per kilogram",Dollars,81,units,0,v1159447045,2.31,3.84,,,,2
2017-04,Nova Scotia,2021A000212,"Tomatoes, per kilogram",Dollars,81,units,0,v1159447085,3.31,3.85,,,,2
2017-04,New Brunswick,2021A000213,"Tomatoes, per kilogram",Dollars,81,units,0,v1159447125,4.31,3.92,,,,2
2017-04,Quebec,2021A000224,"Tomatoes, per kilogram",Dollars,81,units,0,v1159447165,5.31,3.62,,,,2
2017-04,Ontario,2021A000235,"Tomatoes, per kilogram",Dollars,81,units,0,v1159447205,6.31,3.09,,,,2
2017-04,Manitoba,2021A000246,"Tomatoes, per kilogram",Dollars,81,units,0,v1159447245,7.31,3.37,,,,2
2017-04,Saskatchewan,2021A000247,"Tomatoes, per kilogram",Dollars,81,units,0,v1159447285,8.31,3.48,,,,2
2017-04,Alberta,2021A000248,"Tomatoes, per kilogram",Dollars,81,units,0,v1159447325,9.31,3.35,,,,2
2017-04,British Columbia,2021A000259,"Tomatoes, per kilogram",Dollars,81,units,0,v1159447365,10.31,3.44,,,,2
2017-05,Canada,2021A000011124,"Tomatoes, per kilogram",Dollars,81,units,0,v1353834301,11.31,3.13,,,,2
2017-05,Newfoundland and Labrador,2021A000210,"Tomatoes, per kilogram",Dollars,81,units,0,v1159447005,1.31,4.92,,,,2
2017-05,Prince Edward Island,2021A000211,"Tomatoes, per kilogram",Dollars,81,units,0,v1159447045,2.31,3.63,,,,2
2017-05,Nova Scotia,2021A000212,"Tomatoes, per kilogram",Dollars,81,units,0,v1159447085,3.31,3.58,,,,2
2017-05,New Brunswick,2021A000213,"Tomatoes, per kilogram",Dollars,81,units,0,v1159447125,4.31,3.62,,,,2
2017-05,Quebec,2021A000224,"Tomatoes, per kilogram",Dollars,81,units,0,v1159447165,5.31,3.21,,,,2
2017-05,Ontario,2021A000235,"Tomatoes, per kilogram",Dollars,81,units,0,v1159447205,6.31,2.85,,,,2
2017-05,Manitoba,2021A000246,"Tomatoes, per kilogram",Dollars,81,units,0,v1159447245,7.31,3.29,,,,2
2017-05,Saskatchewan,2021A000247,"Tomatoes, per kilogram",Dollars,81,units,0,v1159447285,8.31,3.43,,,,2
2017-05,Alberta,2021A000248,"Tomatoes, per kilogram",Dollars,81,units,0,v1159447325,9.31,3.32,,,,2
2017-05,British Columbia,2021A000259,"Tomatoes, per kilogram",Dollars,81,units,0,v1159447365,10.31,3.43,,,,2
2017-06,Canada,2021A000011124,"Tomatoes, per kilogram",Dollars,81,units,0,v1353834301,11.31,3.35,,,,2
2017-06,Newfoundland and Labrador,2021A000210,"Tomatoes, per kilogram",Dollars,81,units,0,v1159447005,1.31,4.93,,,,2
2017-06,Prince Edward Island,2021A000211,"Tomatoes, per kilogram",Dollars,81,units,0,v1159447045,2.31,3.59,,,,2
2017-06,Nova Scotia,2021A000212,"Tomatoes, per kilogram",Dollars,81,units,0,v1159447085,3.31,3.55,,,,2
2017-06,New Brunswick,2021A000213,"Tomatoes, per kilogram",Dollars,81,units,0,v1159447125,4.31,3.65,,,,2
