Feature,Lag,Correlation,Method
MXN_CAD,0,0.0524,statsmodels_ccf
MXN_CAD,1,-0.1142,statsmodels_ccf
MXN_CAD,2,-0.1424,statsmodels_ccf
MXN_CAD,3,-0.1472,statsmodels_ccf
MXN_CAD,4,0.0644,statsmodels_ccf
MXN_CAD,5,0.1119,statsmodels_ccf
MXN_CAD,6,-0.0448,statsmodels_ccf
MXN_CAD,7,0.2002,statsmodels_ccf
MXN_CAD,8,-0.1221,statsmodels_ccf
MXN_CAD,9,0.0762,statsmodels_ccf
MXN_CAD,10,-0.0629,statsmodels_ccf
MXN_CAD,11,-0.1727,statsmodels_ccf
MXN_CAD,12,-0.05,statsmodels_ccf
USD_CAD,0,0.2084,statsmodels_ccf
USD_CAD,1,-0.1641,statsmodels_ccf
USD_CAD,2,-0.047,statsmodels_ccf
USD_CAD,3,-0.1071,statsmodels_ccf
USD_CAD,4,-0.1312,statsmodels_ccf
USD_CAD,5,-0.0243,statsmodels_ccf
USD_CAD,6,0.0464,statsmodels_ccf
USD_CAD,7,0.1217,statsmodels_ccf
USD_CAD,8,0.023,statsmodels_ccf
USD_CAD,9,0.0842,statsmodels_ccf
USD_CAD,10,0.0478,statsmodels_ccf
USD_CAD,11,-0.0573,statsmodels_ccf
USD_CAD,12,0.0192,statsmodels_ccf
integrated_gas_price,0,0.0887,manual_shift
integrated_gas_price,1,0.1806,manual_shift
integrated_gas_price,2,0.0389,manual_shift
integrated_gas_price,3,-0.077,manual_shift
integrated_gas_price,4,-0.1679,manual_shift
integrated_gas_price,5,0.0561,manual_shift
integrated_gas_price,6,-0.0187,manual_shift
integrated_gas_price,7,-0.0371,manual_shift
integrated_gas_price,8,-0.1462,manual_shift
integrated_gas_price,9,0.0167,manual_shift
integrated_gas_price,10,0.0934,manual_shift
integrated_gas_price,11,0.1075,manual_shift
integrated_gas_price,12,-0.0402,manual_shift
PRECIPITATION_MM,0,0.2477,manual_shift
PRECIPITATION_MM,1,0.0729,manual_shift
PRECIPITATION_MM,2,-0.0726,manual_shift
PRECIPITATION_MM,3,-0.0156,manual_shift
PRECIPITATION_MM,4,-0.2315,manual_shift
PRECIPITATION_MM,5,-0.3826,manual_shift
PRECIPITATION_MM,6,-0.1686,manual_shift
PRECIPITATION_MM,7,-0.1079,manual_shift
PRECIPITATION_MM,8,0.1306,manual_shift
PRECIPITATION_MM,9,0.2271,manual_shift
PRECIPITATION_MM,10,0.2344,manual_shift
PRECIPITATION_MM,11,0.0991,manual_shift
PRECIPITATION_MM,12,0.2706,manual_shift
import_qty,0,-0.1741,manual_shift
import_qty,1,-0.1385,manual_shift
import_qty,2,-0.0841,manual_shift
import_qty,3,0.0576,manual_shift
import_qty,4,0.0865,manual_shift
import_qty,5,0.1958,manual_shift
import_qty,6,0.1767,manual_shift
import_qty,7,0.1704,manual_shift
import_qty,8,-0.069,manual_shift
import_qty,9,-0.0819,manual_shift
import_qty,10,-0.1915,manual_shift
import_qty,11,-0.0794,manual_shift
import_qty,12,-0.0815,manual_shift
MEAN_C,0,0.3628,manual_shift
MEAN_C,1,0.3476,manual_shift
MEAN_C,2,0.1821,manual_shift
MEAN_C,3,-0.006,manual_shift
MEAN_C,4,-0.0349,manual_shift
MEAN_C,5,-0.2653,manual_shift
MEAN_C,6,-0.2214,manual_shift
MEAN_C,7,-0.1981,manual_shift
MEAN_C,8,-0.3093,manual_shift
MEAN_C,9,-0.101,manual_shift
MEAN_C,10,0.0771,manual_shift
MEAN_C,11,0.198,manual_shift
MEAN_C,12,0.383,manual_shift
