Date,MEAN_C_lag_2,PRECIPITATION_MM_lag_3,import_qty_lag_3,USD_CAD_lag_1,integrated_gas_price_lag_1,MXN_CAD_lag_1,price_adjusted
2017-01-01,25.5,19.5,16148741.0,1.3336,0.922689018471385,0.06505,4.48
2017-02-01,21.5,4.8,18552937.0,1.3193,0.942185430562576,0.06165,4.22
2017-03-01,19.7,19.7,22448085.0,1.3107,0.932125205397753,0.06462,4.2
2017-04-01,20.8,3.8,28945282.0,1.3386,0.941153467842554,0.06942,4.57
2017-05-01,23.7,30.2,27040187.0,1.344,0.952622900309035,0.07161,4.79
2017-06-01,24.6,3.6,27534860.0,1.3607,0.950031021521175,0.07251,4.84
2017-07-01,26.5,0.5,18745490.0,1.3298,0.915507257198187,0.07333,4.66
2017-08-01,29.8,0.7,14078045.0,1.2689,0.87386113164834,0.07127,4.56
2017-09-01,30.6,12.5,13205674.0,1.2605,0.901508753469397,0.07082,4.78
2017-10-01,30.3,169.5,12394652.0,1.2283,0.939970951223405,0.06888,4.94
2017-11-01,29.4,248.3,8615146.0,1.2605,0.968685312757325,0.06697,5.25
2017-12-01,29.5,162.9,9680255.0,1.2769,1.02530860220752,0.06752,5.84
2018-01-01,26.0,49.0,13270561.0,1.2771,1.02849038203492,0.06672,4.69
2018-02-01,22.0,0.1,18070858.0,1.2427,1.04285085755727,0.06573,4.19
2018-03-01,20.9,17.6,19586676.0,1.2586,1.06046339317973,0.06749,4.58
2018-04-01,22.3,0.4,28963890.0,1.2932,1.06602627826312,0.06946,4.22
2018-05-01,22.9,14.7,25572280.0,1.2733,1.08473405264827,0.06927,4.7
2018-06-01,25.0,0.1,27060345.0,1.2873,1.14379372087599,0.06593,4.53
2018-07-01,28.0,0.1,19684954.0,1.3129,1.16662998267186,0.06469,4.85
2018-08-01,30.3,0.6,16223700.0,1.313,1.15789017821832,0.06927,4.5
2018-09-01,30.8,98.3,14817668.0,1.3041,1.14576924386309,0.06912,4.7
2018-10-01,29.6,148.5,13369644.0,1.3037,1.16070248746076,0.0686,4.99
2018-11-01,29.0,291.1,10335606.0,1.301,1.19452574869114,0.0678,5.2
2018-12-01,27.7,320.4,10721674.0,1.32,1.18636367250296,0.06521,5.57
2019-01-01,23.6,70.5,17826497.0,1.3432,1.13718125570981,0.06681,4.64
2019-02-01,20.3,5.6,19664215.0,1.3301,1.07887898325413,0.06939,4.18
2019-03-01,20.4,51.1,22414469.0,1.3206,1.08153470400362,0.06881,4.21
2019-04-01,20.8,11.3,28577480.0,1.3368,1.12133776377009,0.0695,4.31
2019-05-01,22.7,1.2,26274923.0,1.3378,1.14189881733224,0.07051,4.59
2019-06-01,24.2,4.8,27012886.0,1.3459,1.16143079992734,0.07043,4.67
2019-07-01,26.0,0.0,19694740.0,1.3287,1.11660496802196,0.06894,4.7
2019-08-01,30.0,0.3,13796091.0,1.3101,1.0897623891856,0.06878,4.45
2019-09-01,31.0,12.0,12703773.0,1.3277,1.08674702959366,0.06742,4.6
2019-10-01,30.2,150.3,11658377.0,1.3241,1.09004481559772,0.06772,4.74
2019-11-01,29.0,339.6,8682326.0,1.319,1.10549625408515,0.06824,5.04
2019-12-01,28.2,199.3,10442898.0,1.3239,1.11838150269526,0.06846,5.36
2020-01-01,25.3,39.4,14714000.0,1.3172,1.11129161680676,0.0689,4.78
2020-02-01,21.2,159.5,18495702.0,1.3087,1.10283236597108,0.0696,4.66
2020-03-01,19.9,10.6,17795953.0,1.3286,1.06346770621008,0.07049,4.88
