date,price_before_adjustment,cpi,price_adjusted,naive_forecast,sarima_forecast,product
2017-01-01,4.48,137.1,4.48,,0.0,tomato
2017-02-01,4.19,136.2,4.22,4.48,4.811861453213575,tomato
2017-03-01,3.83,125.0,4.2,4.22,4.226919779231506,tomato
2017-04-01,3.34,100.3,4.57,4.2,4.1985095372864825,tomato
2017-05-01,3.13,89.5,4.79,4.57,4.611456260864375,tomato
2017-06-01,3.35,94.8,4.84,4.79,4.819296432989059,tomato
2017-07-01,3.13,92.1,4.66,4.84,4.848839367413812,tomato
2017-08-01,3.1,93.3,4.56,4.66,4.640722583172612,tomato
2017-09-01,3.08,88.3,4.78,4.56,4.54663584838809,tomato
2017-10-01,3.23,89.6,4.94,4.78,4.803280293230161,tomato
2017-11-01,3.95,103.1,5.25,4.94,4.960552595643014,tomato
2017-12-01,5.3,124.4,5.84,5.25,5.287126144767911,tomato
2018-01-01,5.55,162.1,4.69,5.84,8.675646384090042,tomato
2018-02-01,4.5,147.1,4.19,4.69,3.8865814799224756,tomato
2018-03-01,4.2,125.8,4.58,4.19,4.114243129441635,tomato
2018-04-01,3.59,116.5,4.22,4.58,4.963246974246511,tomato
2018-05-01,3.21,93.6,4.7,4.22,4.343505459309056,tomato
2018-06-01,3.39,102.7,4.53,4.7,4.776270830841526,tomato
2018-07-01,3.39,95.9,4.85,4.53,4.33860414497375,tomato
2018-08-01,3.27,99.6,4.5,4.85,4.809860915976045,tomato
2018-09-01,3.36,98.0,4.7,4.5,4.6761304828858945,tomato
2018-10-01,3.8,104.5,4.99,4.7,4.844557360364693,tomato
2018-11-01,4.79,126.2,5.2,4.99,5.292818937562475,tomato
2018-12-01,6.04,148.8,5.57,5.2,5.775956509355468,tomato
2019-01-01,5.86,173.3,4.64,5.57,4.7557728159665595,tomato
2019-02-01,4.95,162.3,4.18,4.64,4.173090793352074,tomato
2019-03-01,4.48,145.9,4.21,4.18,4.510815174731849,tomato
2019-04-01,3.83,121.9,4.31,4.21,4.097198920795046,tomato
2019-05-01,3.57,106.7,4.59,4.31,4.670413438980089,tomato
2019-06-01,3.51,103.0,4.67,4.59,4.478528177162532,tomato
2019-07-01,3.66,106.8,4.7,4.67,4.811357324164021,tomato
2019-08-01,3.61,111.3,4.45,4.7,4.429367859968871,tomato
2019-09-01,3.49,104.1,4.6,4.45,4.649621253924068,tomato
2019-10-01,3.71,107.4,4.74,4.6,4.9031191779281755,tomato
2019-11-01,4.67,127.0,5.04,4.74,5.0756100884512305,tomato
2019-12-01,5.95,152.1,5.36,5.04,5.484014669446972,tomato
2020-01-01,6.7,192.1,4.78,5.36,4.469982360760089,tomato
2020-02-01,6.56,192.9,4.66,4.78,4.148342727219371,tomato
2020-03-01,6.38,179.3,4.88,4.66,4.512214994936515,tomato
2020-04-01,5.19,172.9,4.12,4.88,4.461011900406454,tomato
2020-05-01,4.76,125.7,5.19,4.12,4.643596217813874,tomato
2020-06-01,5.24,146.1,4.92,5.19,4.8259064435596395,tomato
