date,MXN_CAD,USD_CAD
2017-01-01,0.06165,1.3193
2017-02-01,0.06462,1.3107
2017-03-01,0.06942,1.3386
2017-04-01,0.07161,1.3440
2017-05-01,0.07251,1.3607
2017-06-01,0.07333,1.3298
2017-07-01,0.07127,1.2689
2017-08-01,0.07082,1.2605
2017-09-01,0.06888,1.2283
2017-10-01,0.06697,1.2605
2017-11-01,0.06752,1.2769
2017-12-01,0.06672,1.2771
2018-01-01,0.06573,1.2427
2018-02-01,0.06749,1.2586
2018-03-01,0.06946,1.2932
2018-04-01,0.06927,1.2733
2018-05-01,0.06593,1.2873
2018-06-01,0.06469,1.3129
2018-07-01,0.06927,1.3130
2018-08-01,0.06912,1.3041
2018-09-01,0.06860,1.3037
2018-10-01,0.06780,1.3010
2018-11-01,0.06521,1.3200
2018-12-01,0.06681,1.3432
2019-01-01,0.06939,1.3301
2019-02-01,0.06881,1.3206
2019-03-01,0.06950,1.3368
2019-04-01,0.07051,1.3378
2019-05-01,0.07043,1.3459
2019-06-01,0.06894,1.3287
2019-07-01,0.06878,1.3101
2019-08-01,0.06742,1.3277
2019-09-01,0.06772,1.3241
2019-10-01,0.06824,1.3190
2019-11-01,0.06846,1.3239
2019-12-01,0.06890,1.3172
2020-01-01,0.06960,1.3087
2020-02-01,0.07049,1.3286
2020-03-01,0.06263,1.3953
2020-04-01,0.05803,1.4058
2020-05-01,0.05958,1.3970
2020-06-01,0.06079,1.3550
2020-07-01,0.06031,1.3499
2020-08-01,0.05961,1.3222
2020-09-01,0.06111,1.3228
2020-10-01,0.06212,1.3215
2020-11-01,0.06403,1.3068
2020-12-01,0.06418,1.2808
2021-01-01,0.06388,1.2724
2021-02-01,0.06248,1.2699
2021-03-01,0.06057,1.2574
2021-04-01,0.06236,1.2496
2021-05-01,0.06071,1.2126
2021-06-01,0.06103,1.2219
2021-07-01,0.06274,1.2529
2021-08-01,0.06274,1.2603
2021-09-01,0.06328,1.2671
2021-10-01,0.06084,1.2437
2021-11-01,0.06016,1.2570
2021-12-01,0.06120,1.2794
2022-01-01,0.06155,1.2616
2022-02-01,0.06213,1.2716
2022-03-01,0.06163,1.2658
2022-04-01,0.06287,1.2628
2022-05-01,0.06414,1.2852
2022-06-01,0.06404,1.2814
2022-07-01,0.06298,1.2942
2022-08-01,0.06424,1.2922
2022-09-01,0.06635,1.3319
2022-10-01,0.06854,1.3700
2022-11-01,0.06914,1.3449
2022-12-01,0.06927,1.3592
2023-01-01,0.07081,1.3422
2023-02-01,0.07220,1.3450
2023-03-01,0.07437,1.3682
2023-04-01,0.07455,1.3485
2023-05-01,0.07623,1.3520
2023-06-01,0.07708,1.3288
2023-07-01,0.07820,1.3215
2023-08-01,0.07945,1.3485
2023-09-01,0.07820,1.3535
2023-10-01,0.07582,1.3717
2023-11-01,0.07895,1.3709
2023-12-01,0.07807,1.3431
2024-01-01,0.07857,1.3425
2024-02-01,0.07897,1.3501
2024-03-01,0.08066,1.3539
2024-04-01,0.08140,1.3674
2024-05-01,0.08131,1.3670
2024-06-01,0.07524,1.3707
2024-07-01,0.07578,1.3712
2024-08-01,0.07135,1.3652
2024-09-01,0.06914,1.3546
2024-10-01,0.06975,1.3755
2024-11-01,0.06874,1.3975
2024-12-01,0.07027,1.4240
2025-01-01,0.07003,1.4390
2025-02-01,0.06984,1.4301
2025-03-01,0.07097,1.4359
2025-04-01,0.06982,1.3988
2025-05-01,0.07128,1.3860
2025-06-01,0.07185,1.3674
2025-07-01,0.07324,1.3691
2025-08-01,0.07380,1.3802
2025-09-01,0.07481,1.3833
2025-10-01,0.07593,1.3992
2025-11-01,0.07630,1.4055
2025-12-01,0.07634,1.3802
2026-01-01,0.07807,1.3778
