date,price_before_adjustment,cpi,price_adjusted
2017-01,1.51,128.1,1.51
2017-02,1.52,124.1,1.57
2017-03,1.66,117.5,1.81
2017-04,1.92,122.5,2.01
2017-05,2.14,128.9,2.13
2017-06,2.11,124.6,2.17
2017-07,2.01,130.4,1.97
2017-08,2.02,121.6,2.13
2017-09,1.91,115.6,2.12
2017-10,1.76,109.0,2.07
2017-11,1.42,115.5,1.57
2017-12,1.63,118.9,1.76
2018-01,1.48,128.1,1.48
2018-02,1.53,120.7,1.62
2018-03,1.64,115.8,1.81
2018-04,1.6,117.1,1.75
2018-05,1.64,123.6,1.7
2018-06,1.77,123.8,1.83
2018-07,1.79,130.6,1.76
2018-08,1.83,120.6,1.94
2018-09,1.78,116.6,1.96
2018-10,1.62,110.7,1.87
2018-11,1.64,116.3,1.81
2018-12,1.73,121.1,1.83
2019-01,1.7,124.0,1.76
2019-02,1.67,124.8,1.71
2019-03,1.67,126.1,1.7
2019-04,1.89,124.4,1.95
2019-05,2.11,119.6,2.26
2019-06,2.19,125.4,2.24
2019-07,2.07,120.6,2.2
2019-08,2.03,116.8,2.23
2019-09,1.97,116.6,2.16
2019-10,1.82,121.6,1.92
2019-11,1.75,126.6,1.77
2019-12,1.79,141.9,1.62
2020-01,1.74,134.6,1.66
2020-02,1.69,125.2,1.73
2020-03,1.79,115.2,1.99
2020-04,1.97,127.6,1.98
2020-05,1.99,122.5,2.08
2020-06,1.95,122.5,2.04
2020-07,1.97,125.1,2.02
2020-08,1.75,125.9,1.78
2020-09,1.71,122.3,1.79
2020-10,1.58,128.7,1.57
2020-11,1.58,125.7,1.61
2020-12,1.61,127.8,1.61
2021-01,1.55,129.3,1.54
2021-02,1.47,133.4,1.41
2021-03,1.59,129.6,1.57
2021-04,1.76,129.4,1.74
2021-05,1.73,130.7,1.7
2021-06,1.82,130.0,1.79
2021-07,1.75,126.0,1.78
2021-08,1.81,126.1,1.84
2021-09,1.81,124.3,1.87
2021-10,1.73,126.1,1.76
2021-11,1.66,128.8,1.65
2021-12,1.76,135.0,1.67
2022-01,1.88,140.5,1.71
2022-02,2.0,143.0,1.79
2022-03,2.07,139.4,1.9
2022-04,2.35,140.9,2.14
2022-05,2.46,146.3,2.15
2022-06,2.42,144.0,2.15
2022-07,2.19,141.1,1.99
2022-08,2.18,144.0,1.94
2022-09,1.74,140.4,1.59
2022-10,1.81,137.1,1.69
2022-11,1.76,141.1,1.6
2022-12,1.87,150.6,1.59
2023-01,1.8,155.9,1.48
2023-02,1.65,156.6,1.35
2023-03,1.71,148.7,1.47
2023-04,2.06,151.4,1.74
2023-05,1.95,155.0,1.61
2023-06,2.01,159.7,1.61
2023-07,2.02,155.0,1.67
2023-08,2.18,156.9,1.78
2023-09,2.07,153.6,1.73
2023-10,2.24,152.9,1.88
2023-11,2.04,156.4,1.67
2023-12,2.0,157.6,1.63
2024-01,1.88,156.9,1.53
2024-02,1.8,158.2,1.46
2024-03,1.99,153.2,1.66
2024-04,1.92,153.2,1.61
2024-05,2.17,163.1,1.7
2024-06,2.29,170.0,1.73
2024-07,2.44,163.1,1.92
2024-08,2.38,165.0,1.85
2024-09,2.11,164.1,1.65
2024-10,2.2,162.6,1.73
2024-11,1.92,159.1,1.55
2024-12,2.0,158.4,1.62
2025-01,2.27,173.4,1.68
2025-02,2.19,179.1,1.57
2025-03,2.4,173.5,1.77
2025-04,2.36,169.8,1.78
2025-05,2.48,170.4,1.86
2025-06,2.34,170.5,1.76
2025-07,2.02,167.2,1.55
2025-08,1.94,159.2,1.56
2025-09,2.07,163.7,1.62
2025-10,1.79,159.8,1.43
2025-11,1.77,165.7,1.37
2025-12,2.08,164.4,1.62
