date,STATE,MIN_C,MEAN_C,MAX_C,PRECIPITATION_MM
2016-01,Jalisco,6.3,16.2,26.1,8.4
2016-01,Estado de México,2.6,11.2,19.8,14.2
2016-01,Michoacán,7.2,16.1,24.9,17.0
2016-01,Sinaloa,9.2,18.9,28.6,1.5
2016-02,Jalisco,8.2,18.8,29.5,4.8
2016-02,Estado de México,2.7,12.6,22.5,5.8
2016-02,Michoacán,8.3,18.2,28.2,2.2
2016-02,Sinaloa,12.4,22.3,32.2,0.5
2016-03,Jalisco,9.9,19.4,28.9,16.1
2016-03,Estado de México,5.7,14.4,23.1,37.4
2016-03,Michoacán,10.3,18.9,27.5,22.8
2016-03,Sinaloa,13.6,22.7,31.9,11.6
2016-04,Jalisco,12.1,22.2,32.2,1.1
2016-04,Estado de México,7.8,17.0,26.2,18.5
2016-04,Michoacán,12.2,21.4,30.5,3.9
2016-04,Sinaloa,14.9,24.6,34.3,1.5
2016-05,Jalisco,15.7,25.2,34.6,19.6
2016-05,Estado de México,9.8,18.3,26.9,76.7
2016-05,Michoacán,14.7,23.8,32.9,27.1
2016-05,Sinaloa,18.7,27.4,36.0,5.3
2016-06,Jalisco,16.8,24.5,32.2,171.7
2016-06,Estado de México,10.1,16.6,23.0,169.8
2016-06,Michoacán,14.9,22.3,29.8,123.8
2016-06,Sinaloa,23.6,30.5,37.5,54.0
2016-07,Jalisco,16.2,23.0,29.8,240.1
2016-07,Estado de México,10.0,16.5,23.1,171.2
2016-07,Michoacán,14.1,21.1,28.0,140.5
2016-07,Sinaloa,23.9,30.2,36.5,231.2
2016-08,Jalisco,17.2,23.4,29.6,224.8
2016-08,Estado de México,10.0,16.8,23.5,200.3
2016-08,Michoacán,15.1,21.8,28.4,172.7
2016-08,Sinaloa,23.8,29.4,35.0,229.7
2016-09,Jalisco,16.4,23.3,30.2,156.5
2016-09,Estado de México,9.7,16.2,22.8,140.4
2016-09,Michoacán,14.4,21.4,28.4,131.9
2016-09,Sinaloa,23.3,29.2,35.1,151.1
2016-10,Jalisco,15.0,22.7,30.4,34.0
2016-10,Estado de México,7.7,15.1,22.5,31.7
2016-10,Michoacán,13.3,21.1,28.9,39.2
2016-10,Sinaloa,21.8,29.3,36.9,19.5
2016-11,Jalisco,12.3,20.2,28.1,36.4
2016-11,Estado de México,5.6,13.0,20.4,45.3
2016-11,Michoacán,10.9,18.9,26.8,28.8
2016-11,Sinaloa,16.7,25.5,34.4,4.8
2016-12,Jalisco,10.1,19.2,28.2,12.7
2016-12,Estado de México,5.5,14.1,22.6,3.5
2016-12,Michoacán,9.3,18.3,27.3,12.0
2016-12,Sinaloa,12.4,21.5,30.5,19.7
2017-01,Jalisco,7.6,17.7,27.9,0.3
2017-01,Estado de México,1.8,12.3,22.8,0.1
2017-01,Michoacán,7.7,17.5,27.3,0.1
2017-01,Sinaloa,10.9,19.7,28.5,3.8
2017-02,Jalisco,8.5,18.9,29.3,2.9
2017-02,Estado de México,3.0,13.1,23.1,1.1
2017-02,Michoacán,8.1,18.1,28.1,1.0
2017-02,Sinaloa,11.4,20.8,30.3,30.2
2017-03,Jalisco,11.4,21.4,31.4,6.5
2017-03,Estado de México,5.1,14.3,23.4,17.0
2017-03,Michoacán,10.9,20.3,29.7,14.6
2017-03,Sinaloa,13.6,23.7,33.8,3.6
2017-04,Jalisco,11.8,22.2,32.7,0.1
2017-04,Estado de México,6.5,15.9,25.2,14.3
2017-04,Michoacán,11.3,21.5,31.8,1.8
2017-04,Sinaloa,14.8,24.6,34.5,0.5
2017-05,Jalisco,15.0,25.0,35.0,6.8
2017-05,Estado de México,9.7,18.2,26.7,86.6
2017-05,Michoacán,14.4,24.0,33.5,29.5
2017-05,Sinaloa,17.9,26.5,35.0,0.7
2017-06,Jalisco,17.8,25.9,34.0,101.8
2017-06,Estado de México,9.9,17.4,25.0,119.7
2017-06,Michoacán,15.9,23.7,31.5,116.1
2017-06,Sinaloa,22.5,29.8,37.1,12.5
2017-07,Jalisco,17.0,23.6,30.3,233.3
2017-07,Estado de México,9.7,16.2,22.7,174.5
2017-07,Michoacán,14.8,21.6,28.3,159.4
2017-07,Sinaloa,24.2,30.6,36.9,169.5
2017-08,Jalisco,17.3,24.0,30.6,266.8
2017-08,Estado de México,10.1,16.8,23.5,209.5
2017-08,Michoacán,15.3,22.1,28.9,228.4
2017-08,Sinaloa,24.3,30.3,36.3,248.3
2017-09,Jalisco,16.7,23.0,29.3,247.4
2017-09,Estado de México,9.6,15.9,22.1,186.3
2017-09,Michoacán,14.7,21.3,28.0,190.9
2017-09,Sinaloa,23.2,29.4,35.6,162.9
2017-10,Jalisco,14.8,22.3,29.8,59.4
2017-10,Estado de México,7.9,15.1,22.4,53.0
2017-10,Michoacán,12.9,20.7,28.6,50.2
2017-10,Sinaloa,22.0,29.5,37.1,49.0
2017-11,Jalisco,10.7,20.4,30.0,0.9
2017-11,Estado de México,3.3,13.1,22.9,3.3
2017-11,Michoacán,9.2,18.9,28.5,0.4
2017-11,Sinaloa,16.8,26.0,35.3,0.1
2017-12,Jalisco,9.6,18.3,27.0,19.8
2017-12,Estado de México,2.5,12.7,22.9,0.1
2017-12,Michoacán,7.1,16.8,26.5,0.3
2017-12,Sinaloa,13.9,22.0,30.1,17.6
2018-01,Jalisco,8.0,17.3,26.5,14.8
2018-01,Estado de México,1.3,11.1,20.8,11.5
2018-01,Michoacán,6.4,16.1,25.8,15.4
2018-01,Sinaloa,10.8,20.9,31.0,0.4
2018-02,Jalisco,11.0,19.7,28.5,16.2
2018-02,Estado de México,4.9,14.0,23.1,17.5
2018-02,Michoacán,10.2,19.0,27.8,16.2
2018-02,Sinaloa,14.1,22.3,30.6,14.7
2018-03,Jalisco,10.9,21.4,31.9,0.1
2018-03,Estado de México,6.2,15.9,25.5,6.8
2018-03,Michoacán,11.7,21.5,31.2,0.4
2018-03,Sinaloa,12.9,22.9,32.9,0.1
2018-04,Jalisco,12.7,22.6,32.6,2.2
2018-04,Estado de México,7.2,16.2,25.1,41.7
2018-04,Michoacán,13.1,22.5,32.0,6.6
2018-04,Sinaloa,14.9,25.0,35.0,0.1
2018-05,Jalisco,16.4,25.0,33.6,57.7
2018-05,Estado de México,8.6,17.2,25.7,89.5
2018-05,Michoacán,15.2,23.7,32.3,80.1
2018-05,Sinaloa,18.8,28.0,37.2,0.6
2018-06,Jalisco,17.4,24.2,31.0,201.4
2018-06,Estado de México,9.9,16.8,23.7,241.2
2018-06,Michoacán,15.8,22.7,29.6,246.8
2018-06,Sinaloa,23.6,30.3,37.1,98.3
2018-07,Jalisco,16.3,23.5,30.7,147.8
2018-07,Estado de México,8.8,16.4,23.9,112.6
2018-07,Michoacán,14.8,22.1,29.3,118.8
2018-07,Sinaloa,24.3,30.8,37.4,148.5
2018-08,Jalisco,16.3,23.1,29.8,206.9
2018-08,Estado de México,9.5,16.1,22.7,223.9
2018-08,Michoacán,14.8,21.7,28.7,215.0
2018-08,Sinaloa,23.6,29.6,35.7,291.1
2018-09,Jalisco,16.5,22.8,29.1,201.6
2018-09,Estado de México,9.7,16.2,22.7,172.2
2018-09,Michoacán,14.9,21.7,28.6,161.9
2018-09,Sinaloa,23.4,29.0,34.7,320.4
2018-10,Jalisco,15.2,21.8,28.5,149.8
2018-10,Estado de México,9.1,15.6,22.1,112.6
2018-10,Michoacán,14.2,21.2,28.2,147.4
2018-10,Sinaloa,21.5,27.7,33.9,70.5
2018-11,Jalisco,10.3,18.4,26.5,75.9
2018-11,Estado de México,5.9,13.5,21.1,64.5
2018-11,Michoacán,10.4,18.6,26.9,100.9
2018-11,Sinaloa,15.2,23.6,31.9,5.6
2018-12,Jalisco,7.6,16.7,25.7,1.7
2018-12,Estado de México,4.1,13.0,22.0,4.8
2018-12,Michoacán,7.8,17.0,26.2,4.8
2018-12,Sinaloa,12.0,20.3,28.6,51.1
2019-01,Jalisco,8.1,17.5,26.8,8.4
2019-01,Estado de México,3.0,12.4,21.7,4.1
2019-01,Michoacán,8.1,17.5,26.9,8.1
2019-01,Sinaloa,11.5,20.4,29.2,11.3
2019-02,Jalisco,9.6,19.7,29.9,1.1
2019-02,Estado de México,4.7,14.5,24.4,5.8
2019-02,Michoacán,9.8,19.9,30.0,1.0
2019-02,Sinaloa,12.0,20.8,29.6,1.2
2019-03,Jalisco,10.8,21.4,31.9,0.1
2019-03,Estado de México,6.1,16.1,26.1,6.7
2019-03,Michoacán,11.3,21.5,31.6,0.7
2019-03,Sinaloa,12.7,22.7,32.7,4.8
2019-04,Jalisco,11.4,22.0,32.6,0.1
2019-04,Estado de México,7.0,16.7,26.4,7.3
2019-04,Michoacán,11.3,21.8,32.3,1.4
2019-04,Sinaloa,14.5,24.2,34.0,0.0
2019-05,Jalisco,14.5,24.4,34.3,6.0
2019-05,Estado de México,9.1,18.4,27.8,33.3
2019-05,Michoacán,14.0,23.9,33.7,19.4
2019-05,Sinaloa,16.6,26.0,35.4,0.3
2019-06,Jalisco,17.7,25.5,33.3,96.3
2019-06,Estado de México,10.5,17.7,24.8,152.0
2019-06,Michoacán,15.7,23.5,31.3,110.4
2019-06,Sinaloa,22.3,30.0,37.7,12.0
2019-07,Jalisco,16.7,23.7,30.8,217.7
2019-07,Estado de México,9.6,16.5,23.4,181.9
2019-07,Michoacán,14.8,22.4,29.9,179.8
2019-07,Sinaloa,24.4,31.0,37.6,150.3
2019-08,Jalisco,16.7,23.4,30.1,171.7
2019-08,Estado de México,9.5,16.4,23.3,138.5
2019-08,Michoacán,14.7,22.1,29.4,154.5
2019-08,Sinaloa,24.3,30.2,36.2,339.6
2019-09,Jalisco,16.4,23.0,29.5,239.8
2019-09,Estado de México,9.1,15.8,22.4,140.1
2019-09,Michoacán,14.3,21.5,28.7,194.1
2019-09,Sinaloa,23.4,29.0,34.6,199.3
2019-10,Jalisco,15.6,22.2,28.7,128.6
2019-10,Estado de México,9.1,15.6,22.1,133.4
2019-10,Michoacán,14.2,21.2,28.3,128.8
2019-10,Sinaloa,21.8,28.2,34.6,39.4
2019-11,Jalisco,13.9,20.9,27.9,50.5
2019-11,Estado de México,7.4,14.6,21.7,33.5
2019-11,Michoacán,13.0,20.6,28.3,29.3
2019-11,Sinaloa,18.5,25.3,32.1,159.5
2019-12,Jalisco,9.9,18.3,26.7,6.1
2019-12,Estado de México,4.0,12.3,20.7,1.0
2019-12,Michoacán,9.5,18.3,27.1,2.2
2019-12,Sinaloa,13.1,21.2,29.2,10.6
2020-01,Jalisco,9.3,17.8,26.2,49.8
2020-01,Estado de México,3.1,11.8,20.4,7.8
2020-01,Michoacán,8.8,17.7,26.5,6.8
2020-01,Sinaloa,11.4,19.9,28.4,21.4
2020-02,Jalisco,10.8,19.5,28.2,55.6
2020-02,Estado de México,5.0,14.0,23.1,8.0
2020-02,Michoacán,10.2,19.5,28.7,29.8
2020-02,Sinaloa,12.0,20.5,29.1,54.9
2020-03,Jalisco,13.0,22.4,31.7,1.1
2020-03,Estado de México,6.6,16.3,25.9,16.2
2020-03,Michoacán,12.2,21.7,31.2,9.0
2020-03,Sinaloa,14.2,22.9,31.5,3.0
2020-04,Jalisco,13.5,23.2,32.8,1.4
2020-04,Estado de México,8.9,17.6,26.2,29.3
2020-04,Michoacán,13.5,23.2,32.8,5.1
2020-04,Sinaloa,14.7,24.4,34.0,1.7
2020-05,Jalisco,14.2,23.5,32.8,16.0
2020-05,Estado de México,8.4,16.8,25.2,26.6
2020-05,Michoacán,13.5,23.0,32.4,9.8
2020-05,Sinaloa,18.3,27.3,36.3,2.3
2020-06,Jalisco,17.4,24.9,32.4,81.7
2020-06,Estado de México,9.4,16.8,24.2,115.6
2020-06,Michoacán,14.9,22.9,30.9,92.5
2020-06,Sinaloa,23.5,30.6,37.7,14.9
2020-07,Jalisco,16.9,23.5,30.1,209.3
2020-07,Estado de México,9.8,16.6,23.3,184.2
2020-07,Michoacán,14.7,22.0,29.3,155.9
2020-07,Sinaloa,24.5,30.7,36.9,221.8
2020-08,Jalisco,16.8,23.1,29.5,254.4
2020-08,Estado de México,9.9,16.0,22.2,184.5
2020-08,Michoacán,14.7,21.5,28.3,201.0
2020-08,Sinaloa,25.0,31.0,37.1,162.3
2020-09,Jalisco,16.3,22.7,29.0,167.4
2020-09,Estado de México,9.5,15.6,21.7,150.6
2020-09,Michoacán,14.2,21.0,27.9,167.6
2020-09,Sinaloa,24.2,30.0,35.9,150.6
2020-10,Jalisco,14.0,22.2,30.4,24.5
2020-10,Estado de México,5.4,14.0,22.6,29.2
2020-10,Michoacán,11.5,20.2,28.9,20.2
2020-10,Sinaloa,22.3,29.5,36.6,6.4
2020-11,Jalisco,11.6,20.6,29.6,0.1
2020-11,Estado de México,4.4,13.2,22.0,3.5
2020-11,Michoacán,10.3,19.4,28.5,2.9
2020-11,Sinaloa,16.5,25.4,34.2,1.9
2020-12,Jalisco,9.2,17.9,26.5,12.9
2020-12,Estado de México,4.7,12.8,20.9,3.3
2020-12,Michoacán,9.0,17.8,26.6,2.4
2020-12,Sinaloa,11.4,20.4,29.3,12.3
2021-01,Jalisco,7.9,17.5,27.1,1.1
2021-01,Estado de México,3.4,12.4,21.4,4.1
2021-01,Michoacán,8.1,17.5,26.9,0.2
2021-01,Sinaloa,9.7,19.2,28.6,14.9
2021-02,Jalisco,9.4,19.3,29.2,0.3
2021-02,Estado de México,3.1,13.2,23.3,0.5
2021-02,Michoacán,7.9,18.1,28.3,0.0
2021-02,Sinaloa,11.1,20.5,29.9,0.6
2021-03,Jalisco,10.6,21.2,31.8,0.0
2021-03,Estado de México,6.3,16.2,26.0,9.9
2021-03,Michoacán,10.9,21.0,31.1,0.9
2021-03,Sinaloa,10.7,21.4,32.1,0.0
2021-04,Jalisco,12.8,22.8,32.9,0.8
2021-04,Estado de México,7.6,16.9,26.3,18.3
