Feature,Lag,Correlation,Method
MXN_CAD,0,-0.0105,statsmodels_ccf
MXN_CAD,1,-0.1144,statsmodels_ccf
MXN_CAD,2,0.0949,statsmodels_ccf
MXN_CAD,3,-0.0493,statsmodels_ccf
MXN_CAD,4,0.1291,statsmodels_ccf
MXN_CAD,5,-0.104,statsmodels_ccf
MXN_CAD,6,-0.0364,statsmodels_ccf
MXN_CAD,7,0.0869,statsmodels_ccf
MXN_CAD,8,-0.0469,statsmodels_ccf
MXN_CAD,9,0.0637,statsmodels_ccf
MXN_CAD,10,-0.0041,statsmodels_ccf
MXN_CAD,11,-0.0635,statsmodels_ccf
MXN_CAD,12,-0.0954,statsmodels_ccf
USD_CAD,0,0.1159,statsmodels_ccf
USD_CAD,1,-0.1643,statsmodels_ccf
USD_CAD,2,-0.0281,statsmodels_ccf
USD_CAD,3,0.0169,statsmodels_ccf
USD_CAD,4,0.1462,statsmodels_ccf
USD_CAD,5,0.0784,statsmodels_ccf
USD_CAD,6,-0.0234,statsmodels_ccf
USD_CAD,7,-0.1141,statsmodels_ccf
USD_CAD,8,-0.1291,statsmodels_ccf
USD_CAD,9,0.0335,statsmodels_ccf
USD_CAD,10,0.0493,statsmodels_ccf
USD_CAD,11,0.0485,statsmodels_ccf
USD_CAD,12,0.0336,statsmodels_ccf
integrated_gas_price,0,0.0201,manual_shift
integrated_gas_price,1,0.1534,manual_shift
integrated_gas_price,2,0.1103,manual_shift
integrated_gas_price,3,-0.0674,manual_shift
integrated_gas_price,4,0.0082,manual_shift
integrated_gas_price,5,0.0014,manual_shift
integrated_gas_price,6,-0.0817,manual_shift
integrated_gas_price,7,0.0348,manual_shift
integrated_gas_price,8,0.138,manual_shift
integrated_gas_price,9,0.0432,manual_shift
integrated_gas_price,10,-0.1375,manual_shift
integrated_gas_price,11,-0.1576,manual_shift
integrated_gas_price,12,-0.0009,manual_shift
PRECIPITATION_MM,0,-0.0929,manual_shift
PRECIPITATION_MM,1,-0.2308,manual_shift
PRECIPITATION_MM,2,-0.1926,manual_shift
PRECIPITATION_MM,3,0.4029,manual_shift
PRECIPITATION_MM,4,0.3852,manual_shift
PRECIPITATION_MM,5,0.0713,manual_shift
PRECIPITATION_MM,6,-0.1575,manual_shift
PRECIPITATION_MM,7,-0.323,manual_shift
PRECIPITATION_MM,8,-0.2361,manual_shift
PRECIPITATION_MM,9,-0.0317,manual_shift
PRECIPITATION_MM,10,0.2236,manual_shift
PRECIPITATION_MM,11,0.1688,manual_shift
PRECIPITATION_MM,12,-0.0654,manual_shift
import_qty,0,-0.0348,manual_shift
import_qty,1,-0.3063,manual_shift
import_qty,2,-0.0038,manual_shift
import_qty,3,-0.3329,manual_shift
import_qty,4,0.0588,manual_shift
import_qty,5,-0.0265,manual_shift
import_qty,6,-0.0311,manual_shift
import_qty,7,-0.0931,manual_shift
import_qty,8,0.1275,manual_shift
import_qty,9,0.331,manual_shift
import_qty,10,0.1339,manual_shift
import_qty,11,0.083,manual_shift
import_qty,12,0.0598,manual_shift
MEAN_C,0,-0.12,manual_shift
MEAN_C,1,0.2282,manual_shift
MEAN_C,2,0.3059,manual_shift
MEAN_C,3,0.1759,manual_shift
MEAN_C,4,0.1234,manual_shift
MEAN_C,5,0.0597,manual_shift
MEAN_C,6,0.0156,manual_shift
MEAN_C,7,-0.1206,manual_shift
MEAN_C,8,-0.0839,manual_shift
MEAN_C,9,-0.1068,manual_shift
MEAN_C,10,-0.2638,manual_shift
MEAN_C,11,-0.2069,manual_shift
MEAN_C,12,-0.04,manual_shift
