PERIOD,STATE_ID,STATE,MIN_C,MEAN_C,MAX_C,PRECIPITATION_MM
2016-01-01,0,Mexico,7.2,15.4,23.5,20.1
2016-01-01,1,Aguascalientes,1.4,11.3,21.1,4.4
2016-01-01,2,Baja California,6.3,13.0,19.7,44.3
2016-01-01,3,Baja California Sur,9.2,17.1,25.0,5.6
2016-01-01,4,Campeche,17.9,23.5,29.2,50.4
2016-01-01,5,Coahuila,3.8,12.1,20.4,21.6
2016-01-01,6,Colima,17.4,24.7,31.9,85.6
2016-01-01,7,Chiapas,16.7,23.3,29.8,33.9
2016-01-01,8,Chihuahua,-0.9,8.6,18.1,5.8
2016-01-01,9,Ciudad de México,6.3,14.0,21.8,6.7
2016-01-01,10,Durango,0.5,10.5,20.5,8.3
2016-01-01,11,Guanajuato,5.2,14.2,23.1,7.4
2016-01-01,12,Guerrero,15.9,22.9,30.0,22.1
2016-01-01,13,Hidalgo,6.4,14.4,22.4,7.6
2016-01-01,14,Jalisco,6.3,16.2,26.1,8.4
2016-01-01,15,Estado de México,2.6,11.2,19.8,14.2
2016-01-01,16,Michoacán,7.2,16.1,24.9,17.0
2016-01-01,17,Morelos,10.8,18.5,26.1,32.4
2016-01-01,18,Nayarit,10.6,19.9,29.2,0.8
2016-01-01,19,Nuevo León,5.4,13.8,22.3,29.1
2016-01-01,20,Oaxaca,14.1,20.3,26.5,8.8
2016-01-01,21,Puebla,7.3,14.5,21.8,27.6
2016-01-01,22,Querétaro,6.9,15.0,23.1,5.8
2016-01-01,23,Quintana Roo,19.5,24.7,29.9,64.8
2016-01-01,24,San Luis Potosí,8.6,16.2,23.8,11.5
2016-01-01,25,Sinaloa,9.2,18.9,28.6,1.5
2016-01-01,26,Sonora,4.0,13.5,23.0,24.2
2016-01-01,27,Tabasco,18.8,23.2,27.6,116.3
2016-01-01,28,Tamaulipas,9.5,16.6,23.7,25.4
2016-01-01,29,Tlaxcala,3.3,11.6,19.9,11.9
2016-01-01,30,Veracruz,12.6,18.0,23.4,29.6
2016-01-01,31,Yucatán,16.6,22.8,29.1,32.3
2016-01-01,32,Zacatecas,0.8,11.0,21.2,4.5
2016-02-01,0,Mexico,9.1,18.1,27.1,7.4
2016-02-01,1,Aguascalientes,3.3,14.1,24.8,9.6
2016-02-01,2,Baja California,8.4,17.1,25.8,0.1
2016-02-01,3,Baja California Sur,12.3,20.3,28.3,0.3
2016-02-01,4,Campeche,17.3,23.6,29.8,33.8
2016-02-01,5,Coahuila,7.2,16.2,25.3,3.1
2016-02-01,6,Colima,18.4,26.1,33.8,0.8
2016-02-01,7,Chiapas,16.8,23.7,30.7,26.6
2016-02-01,8,Chihuahua,2.0,13.0,23.9,0.5
2016-02-01,9,Ciudad de México,6.7,15.5,24.3,0.8
2016-02-01,10,Durango,4.5,14.9,25.4,3.6
2016-02-01,11,Guanajuato,5.2,15.6,25.9,4.1
2016-02-01,12,Guerrero,16.4,24.2,32.1,1.0
2016-02-01,13,Hidalgo,6.5,15.4,24.3,2.4
2016-02-01,14,Jalisco,8.2,18.8,29.5,4.8
2016-02-01,15,Estado de México,2.7,12.6,22.5,5.8
2016-02-01,16,Michoacán,8.3,18.2,28.2,2.2
2016-02-01,17,Morelos,11.3,20.2,29.2,1.1
2016-02-01,18,Nayarit,15.4,24.6,33.8,0.6
2016-02-01,19,Nuevo León,8.0,17.2,26.4,1.5
