Date,Actual_Price,Predicted_Price,Lower_CI,Upper_CI,Abs_Error,Pct_Error
2021-01,1.54,1.5424,1.4491,1.6356,0.0024,0.15
2021-02,1.41,1.572,1.4796,1.6643,0.162,11.49
2021-03,1.57,1.5396,1.448,1.6312,0.0304,1.94
2021-04,1.74,1.6533,1.5646,1.742,0.0867,4.98
2021-05,1.7,1.7883,1.695,1.8817,0.0883,5.19
2021-06,1.79,1.7763,1.6835,1.8691,0.0137,0.77
2021-07,1.78,1.8432,1.753,1.9334,0.0632,3.55
2021-08,1.84,1.8394,1.7543,1.9245,0.0006,0.03
2021-09,1.87,1.8676,1.7826,1.9525,0.0024,0.13
2021-10,1.76,1.6377,1.5513,1.7242,0.1223,6.95
2021-11,1.65,1.5746,1.4916,1.6576,0.0754,4.57
2021-12,1.67,1.6841,1.6002,1.768,0.0141,0.85
2022-01,1.71,1.5466,1.4648,1.6284,0.1634,9.56
2022-02,1.79,1.6691,1.5863,1.7519,0.1209,6.75
2022-03,1.9,1.8901,1.8101,1.9701,0.0099,0.52
2022-04,2.14,2.1259,2.0463,2.2056,0.0141,0.66
2022-05,2.15,2.2487,2.1695,2.3278,0.0987,4.59
2022-06,2.15,2.2905,2.212,2.369,0.1405,6.54
2022-07,1.99,2.1478,2.0705,2.2251,0.1578,7.93
2022-08,1.94,2.0464,1.9677,2.1252,0.1064,5.49
2022-09,1.59,2.0274,1.9485,2.1063,0.4374,27.51
2022-10,1.69,1.603,1.5156,1.6904,0.087,5.15
2022-11,1.6,1.6166,1.5344,1.6988,0.0166,1.04
2022-12,1.59,1.6642,1.5786,1.7498,0.0742,4.67
2023-01,1.48,1.5436,1.4589,1.6284,0.0636,4.3
2023-02,1.35,1.5455,1.4631,1.6279,0.1955,14.48
2023-03,1.47,1.5169,1.4319,1.6019,0.0469,3.19
2023-04,1.74,1.5702,1.4861,1.6544,0.1698,9.76
2023-05,1.61,1.826,1.7435,1.9085,0.216,13.42
2023-06,1.61,1.6255,1.5402,1.7108,0.0155,0.96
2023-07,1.67,1.5198,1.4352,1.6044,0.1502,8.99
2023-08,1.78,1.7448,1.6603,1.8292,0.0352,1.98
2023-09,1.73,1.7617,1.6775,1.8459,0.0317,1.83
2023-10,1.88,1.679,1.5963,1.7618,0.201,10.69
2023-11,1.67,1.711,1.6286,1.7933,0.041,2.45
2023-12,1.63,1.5894,1.505,1.6738,0.0406,2.49
2024-01,1.53,1.5244,1.4415,1.6073,0.0056,0.36
2024-02,1.46,1.4895,1.4082,1.5709,0.0295,2.02
2024-03,1.66,1.6165,1.5349,1.6982,0.0435,2.62
2024-04,1.61,1.8266,1.7448,1.9084,0.2166,13.45
2024-05,1.7,1.6867,1.6052,1.7682,0.0133,0.78
2024-06,1.73,1.7284,1.6476,1.8093,0.0016,0.09
2024-07,1.92,1.7162,1.6359,1.7965,0.2038,10.61
2024-08,1.85,1.9174,1.8358,1.9989,0.0674,3.64
2024-09,1.65,1.7162,1.6349,1.7976,0.0662,4.01
2024-10,1.73,1.6168,1.5359,1.6977,0.1132,6.54
2024-11,1.55,1.6003,1.5196,1.6811,0.0503,3.25
2024-12,1.62,1.5535,1.4731,1.6339,0.0665,4.1
2025-01,1.68,1.582,1.5021,1.662,0.098,5.83
2025-02,1.57,1.6637,1.5843,1.7432,0.0937,5.97
2025-03,1.77,1.7205,1.6405,1.8005,0.0495,2.8
2025-04,1.78,1.7548,1.6762,1.8334,0.0252,1.41
2025-05,1.86,1.7911,1.7128,1.8694,0.0689,3.7
2025-06,1.76,1.8672,1.7895,1.9448,0.1072,6.09
2025-07,1.55,1.7544,1.6768,1.832,0.2044,13.19
2025-08,1.56,1.652,1.5738,1.7302,0.092,5.9
2025-09,1.62,1.5267,1.4487,1.6047,0.0933,5.76
2025-10,1.43,1.6097,1.5321,1.6873,0.1797,12.57
2025-11,1.37,1.3237,1.2454,1.4019,0.0463,3.38
2025-12,1.62,1.3647,1.287,1.4423,0.2553,15.76
