Date,Actual_Price,Predicted_Price,Lower_CI,Upper_CI,Abs_Error,Pct_Error
2021-01,4.97,4.5876,4.4411,4.7389,0.3824,7.69
2021-02,4.38,4.3699,4.2242,4.5207,0.0101,0.23
2021-03,4.39,4.7041,4.5601,4.8526,0.3141,7.15
2021-04,4.18,4.1773,4.0612,4.2967,0.0027,0.07
2021-05,4.81,4.8788,4.726,5.0365,0.0688,1.43
2021-06,4.99,4.8483,4.7122,4.9883,0.1417,2.84
2021-07,5.26,4.8678,4.7237,5.0162,0.3922,7.46
2021-08,4.78,4.6099,4.4713,4.7527,0.1701,3.56
2021-09,4.66,4.7329,4.5922,4.878,0.0729,1.56
2021-10,4.98,4.8978,4.7534,5.0467,0.0822,1.65
2021-11,5.21,5.3608,5.2086,5.5174,0.1508,2.89
2021-12,5.44,5.2641,5.1117,5.4211,0.1759,3.23
2022-01,4.94,4.9716,4.8301,5.1171,0.0316,0.64
2022-02,4.46,4.4276,4.3024,4.5565,0.0324,0.73
2022-03,4.26,4.6072,4.4823,4.7355,0.3472,8.15
2022-04,4.25,4.1147,4.0003,4.2325,0.1353,3.18
2022-05,4.7,4.7885,4.6552,4.9257,0.0885,1.88
2022-06,4.98,4.7144,4.5853,4.8471,0.2656,5.33
2022-07,5.16,4.9684,4.8317,5.109,0.1916,3.71
2022-08,4.97,4.629,4.5021,4.7594,0.341,6.86
2022-09,4.5,4.7223,4.5907,4.8577,0.2223,4.94
2022-10,4.74,4.9326,4.7925,5.0768,0.1926,4.06
2022-11,5.73,5.0341,4.8944,5.1778,0.6959,12.14
2022-12,5.57,5.4714,5.3086,5.6392,0.0986,1.77
2023-01,5.01,4.855,4.7118,5.0026,0.155,3.09
2023-02,4.48,4.4701,4.3381,4.6062,0.0099,0.22
2023-03,4.41,4.3902,4.2627,4.5215,0.0198,0.45
2023-04,4.24,4.2362,4.114,4.3619,0.0038,0.09
2023-05,4.38,4.7703,4.6345,4.91,0.3903,8.91
2023-06,4.98,4.8141,4.6734,4.959,0.1659,3.33
2023-07,4.84,5.0298,4.8814,5.1827,0.1898,3.92
2023-08,4.57,4.6903,4.5546,4.8301,0.1203,2.63
2023-09,4.52,4.423,4.2962,4.5536,0.097,2.15
2023-10,4.76,4.8476,4.7104,4.9888,0.0876,1.84
2023-11,4.74,5.2163,5.0688,5.3681,0.4763,10.05
2023-12,5.07,5.1506,5.0027,5.303,0.0806,1.59
2024-01,5.28,5.2527,5.1026,5.4071,0.0273,0.52
2024-02,4.39,4.362,4.2384,4.4891,0.028,0.64
2024-03,4.48,4.329,4.2069,4.4547,0.151,3.37
2024-04,3.98,4.1953,4.0784,4.3156,0.2153,5.41
2024-05,4.2,4.548,4.4208,4.6789,0.348,8.29
2024-06,4.46,4.8199,4.6831,4.9607,0.3599,8.07
2024-07,4.83,4.8613,4.7184,5.0084,0.0313,0.65
2024-08,4.58,4.5726,4.4422,4.7069,0.0074,0.16
2024-09,4.27,4.5044,4.3765,4.6361,0.2344,5.49
2024-10,4.5,4.7134,4.5813,4.8494,0.2134,4.74
2024-11,5.06,4.9098,4.7686,5.0551,0.1502,2.97
2024-12,5.12,5.2543,5.1067,5.4062,0.1343,2.62
2025-01,4.94,4.8392,4.7016,4.9808,0.1008,2.04
2025-02,4.37,4.4315,4.3096,4.5569,0.0615,1.41
2025-03,4.47,4.4235,4.2992,4.5515,0.0465,1.04
2025-04,4.17,4.0691,3.9589,4.1823,0.1009,2.42
2025-05,4.45,4.4096,4.2862,4.5365,0.0404,0.91
2025-06,4.71,4.7491,4.6167,4.8853,0.0391,0.83
2025-07,4.59,4.9112,4.7778,5.0483,0.3212,7.0
2025-08,4.62,4.6065,4.4791,4.7375,0.0135,0.29
2025-09,4.15,4.4503,4.3282,4.5758,0.3003,7.24
2025-10,4.42,4.6701,4.5395,4.8045,0.2501,5.66
2025-11,4.62,4.9473,4.8101,5.0885,0.3273,7.09
2025-12,4.83,5.2484,5.1011,5.4001,0.4184,8.66
