refYear,refMonth,partnerDesc,qty,altQty,netWgt,fobvalue,primaryValue
2016,1,Mexico,21843750,21843750,21843750,47497182.364,47497182.364
2016,1,USA,3901699,3901699,3901699,9320119.834,9320119.834
2016,2,Mexico,22881859,22881859,22881859,37526643.555,37526643.555
2016,2,USA,3222170,3222170,3222170,6306887.212,6306887.212
2016,3,Mexico,20563433,20563433,20563433,33424660.733,33424660.733
2016,3,USA,4964500,4964500,4964500,8950370.226,8950370.226
2016,4,Mexico,14424569,14424569,14424569,20879717.069,20879717.069
2016,4,USA,5613447,5613447,5613447,7603026.908,7603026.908
2016,5,Mexico,8563449,8563449,8563449,12992536.695,12992536.695
2016,5,USA,7482765,7482765,7482765,7274767.84,7274767.84
2016,6,Mexico,5834736,5834736,5834736,8885195.404,8885195.404
2016,6,USA,7357667,7357667,7357667,7998424.849,7998424.849
2016,7,Mexico,4855289,4855289,4855289,8563457.005,8563457.005
2016,7,USA,7449319,7449319,7449319,7211755.084,7211755.084
2016,8,Mexico,3169683,3169683,3169683,6720217.63,6720217.63
2016,8,USA,5885852,5885852,5885852,5310647.269,5310647.269
2016,9,Mexico,4712853,4712853,4712853,9666838.591,9666838.591
2016,9,USA,5728233,5728233,5728233,6273009.47,6273009.47
2016,10,Mexico,9462020,9462020,0,17777131.982,17777131.982
2016,10,USA,6686721,6686721,6686721,8159855.178,8159855.178
2016,11,Mexico,11646701,11646701,11646701,21280593.698,21280593.698
2016,11,USA,6906236,6906236,6906236,8421508.119,8421508.119
2016,12,Mexico,14206428,14206428,14206428,25747072.496,25747072.496
2016,12,USA,8241657,8241657,0,8327630.443,8327630.443
2017,1,Mexico,22559833,22559833,22559833,31815923.707,31815923.707
2017,1,USA,0,6385452,0,6731912.198,6731912.198
2017,2,Mexico,21992319,21992319,21992319,28713968.589,28713968.589
2017,2,USA,5047868,5047868,5047868,5430731.701,5430731.701
2017,3,Mexico,21216792,21216792,21216792,29044402.331,29044402.331
2017,3,USA,0,6318067,0,7409780.088,7409780.088
2017,4,Mexico,12582779,12582779,12582779,18748983.253,18748983.253
2017,4,USA,6162711,6162711,6162711,7254466.326,7254466.326
2017,5,Mexico,8584368,8584368,8584368,14950938.702,14950938.702
2017,5,USA,5493677,5493677,5493677,8317091.737,8317091.737
2017,6,Mexico,7114020,7114020,7114020,12443560.09,12443560.09
2017,6,USA,6091654,6091654,6091654,8568903.513,8568903.513
2017,7,Mexico,4940476,4940476,4940476,9154216.842,9154216.842
2017,7,USA,7454176,7454176,7454176,7711274.021,7711274.021
2017,8,Mexico,3231684,3231684,3231684,7196416.31,7196416.31
2017,8,USA,5383462,5383462,5383462,5493737.416,5493737.416
