Date,U.S. No 2 Diesel Retail Prices (Dollars per Gallon)
Jan-2016,2.143
Feb-2016,1.998
Mar-2016,2.09
Apr-2016,2.152
May-2016,2.315
Jun-2016,2.423
Jul-2016,2.405
Aug-2016,2.351
Sep-2016,2.394
Oct-2016,2.454
Nov-2016,2.439
Dec-2016,2.51
Jan-2017,2.58
Feb-2017,2.568
Mar-2017,2.554
Apr-2017,2.583
May-2017,2.56
Jun-2017,2.511
Jul-2017,2.496
Aug-2017,2.595
Sep-2017,2.785
Oct-2017,2.794
Nov-2017,2.909
Dec-2017,2.909
Jan-2018,3.018
Feb-2018,3.046
Mar-2018,2.988
Apr-2018,3.096
May-2018,3.244
Jun-2018,3.253
Jul-2018,3.233
Aug-2018,3.218
Sep-2018,3.262
Oct-2018,3.365
Nov-2018,3.3
Dec-2018,3.123
Jan-2019,2.98
Feb-2019,2.997
Mar-2019,3.076
Apr-2019,3.121
May-2019,3.161
Jun-2019,3.089
Jul-2019,3.045
Aug-2019,3.005
Sep-2019,3.016
Oct-2019,3.053
Nov-2019,3.069
Dec-2019,3.055
Jan-2020,3.048
Feb-2020,2.91
Mar-2020,2.729
Apr-2020,2.493
May-2020,2.392
Jun-2020,2.408
Jul-2020,2.434
Aug-2020,2.429
Sep-2020,2.414
Oct-2020,2.389
Nov-2020,2.432
Dec-2020,2.585
Jan-2021,2.681
Feb-2021,2.847
Mar-2021,3.152
Apr-2021,3.13
May-2021,3.217
Jun-2021,3.287
Jul-2021,3.339
Aug-2021,3.35
Sep-2021,3.384
Oct-2021,3.612
Nov-2021,3.727
Dec-2021,3.641
Jan-2022,3.724
Feb-2022,4.032
Mar-2022,5.105
Apr-2022,5.12
May-2022,5.571
Jun-2022,5.754
Jul-2022,5.486
Aug-2022,5.013
Sep-2022,4.993
Oct-2022,5.211
Nov-2022,5.255
Dec-2022,4.714
Jan-2023,4.576
Feb-2023,4.413
Mar-2023,4.211
Apr-2023,4.099
May-2023,3.915
Jun-2023,3.802
Jul-2023,3.882
Aug-2023,4.37
Sep-2023,4.563
Oct-2023,4.507
Nov-2023,4.254
Dec-2023,3.972
Jan-2024,3.854
Feb-2024,4.044
Mar-2024,4.022
Apr-2024,4.002
May-2024,3.822
Jun-2024,3.722
Jul-2024,3.81
Aug-2024,3.7
Sep-2024,3.558
Oct-2024,3.585
Nov-2024,3.522
Dec-2024,3.494
Jan-2025,3.634
Feb-2025,3.675
Mar-2025,3.585
Apr-2025,3.567
May-2025,3.499
Jun-2025,3.599
Jul-2025,3.779
Aug-2025,3.744
Sep-2025,3.748
Oct-2025,3.679
Nov-2025,3.822
Dec-2025,3.615
Jan-2026,3.523
Feb-2026,3.722
