model_name,feature,importance
model_1_target_lags_only,lag12,0.46922556
model_1_target_lags_only,month,0.24468346
model_1_target_lags_only,lag1,0.08534498
model_1_target_lags_only,lag6,0.07268862
model_1_target_lags_only,lag3,0.06654084
model_1_target_lags_only,lag2,0.061516553
model_2_target_lags_plus_external,lag12,0.39905098
model_2_target_lags_plus_external,mexico_weather_adjusted_state_michoacán_precipitation_mm,0.12650597
model_2_target_lags_plus_external,month,0.07147187
model_2_target_lags_plus_external,mexico_weather_adjusted_state_michoacán_mean_c,0.058191672
model_2_target_lags_plus_external,gas_price_integrated_gas_price,0.053451523
model_2_target_lags_plus_external,lag6,0.043036725
model_2_target_lags_plus_external,lag1,0.042149764
model_2_target_lags_plus_external,lag2,0.03871228
model_2_target_lags_plus_external,tomato_import_partner_mexico_qty,0.037089963
model_2_target_lags_plus_external,lag3,0.035421174
model_2_target_lags_plus_external,xrate_adjusted_usd_cad,0.03345251
model_2_target_lags_plus_external,tomato_import_partner_usa_qty,0.03205012
model_2_target_lags_plus_external,xrate_adjusted_mxn_cad,0.029415553
model_3_selective_features_plus_target_lags,lag1,0.3368703
model_3_selective_features_plus_target_lags,PRECIPITATION_MM_lag_5,0.16308716
model_3_selective_features_plus_target_lags,import_qty_lag_0,0.13278836
model_3_selective_features_plus_target_lags,integrated_gas_price_lag_0,0.108610645
model_3_selective_features_plus_target_lags,lag6,0.06986751
model_3_selective_features_plus_target_lags,MEAN_C_lag_3,0.062223934
model_3_selective_features_plus_target_lags,lag12,0.04556504
model_3_selective_features_plus_target_lags,MXN_CAD_lag_0,0.023590887
model_3_selective_features_plus_target_lags,lag2,0.02308526
model_3_selective_features_plus_target_lags,USD_CAD_lag_0,0.017823061
model_3_selective_features_plus_target_lags,lag3,0.016487919
model_4_core_lags_mean_temp_gas,lag1,0.64034885
model_4_core_lags_mean_temp_gas,MEAN_C_lag_3,0.109119475
model_4_core_lags_mean_temp_gas,lag2,0.095224164
model_4_core_lags_mean_temp_gas,lag12,0.080729894
model_4_core_lags_mean_temp_gas,integrated_gas_price_lag_0,0.07457763
